Sessao_Numero,Topicos_Abordados,Duracao_Total_Sessao,Tempo_Exposicao_Tema,Tempo_Exercicios_Fixacao
1,"1. Teoria Musical: Fundamentos da notação, ritmo e harmonia (Introdução)","30 min","18 min (Visão geral da teoria musical: notação, ritmo, harmonia.)","12 min (Identificação de símbolos básicos: notas, claves.)"
2,"1. Teoria Musical: Fundamentos da notação, ritmo e harmonia (Notação)","30 min","18 min (Aprofundamento em notação musical: pauta, claves, notas.)","12 min (Exercícios de escrita e leitura de notas simples.)"
3,"1. Teoria Musical: Fundamentos da notação, ritmo e harmonia (Ritmo)","30 min","18 min (Exploração do ritmo: figuras rítmicas, pausas, compasso.)","12 min (Prática de leitura rítmica com figuras básicas.)"
4,"1. Teoria Musical: Fundamentos da notação, ritmo e harmonia (Harmonia - Introdução)","30 min","18 min (Introdução à harmonia: acordes, tonalidades, progressões.)","12 min (Identificação de acordes maiores e menores.)"
5,"1.1. Leitura de Partitura: Habilidade de ler e interpretar símbolos musicais (Introdução)","30 min","18 min (Introdução à leitura de partitura: claves, notas, ritmos.)","12 min (Leitura de pequenas frases musicais simples.)"
6,"1.1. Leitura de Partitura: Habilidade de ler e interpretar símbolos musicais (Dinâmicas e Articulações)","30 min","18 min (Estudo de dinâmicas e articulações na partitura.)","12 min (Aplicação de dinâmicas e articulações em exercícios de leitura.)"
7,"1.2. Estrutura Harmônica: Compreensão de acordes e progressões (Acordes)","30 min","18 min (Estudo de acordes: tríades, tétrades, inversões.)","12 min (Identificação e construção de acordes.)"
8,"1.2. Estrutura Harmônica: Compreensão de acordes e progressões (Progressões)","30 min","18 min (Estudo de progressões harmônicas comuns.)","12 min (Análise de progressões em músicas simples.)"
9,"2. Treinamento Auditivo: Desenvolvimento da percepção e identificação de elementos musicais (Introdução)","30 min","18 min (Introdução ao treinamento auditivo e sua importância.)","12 min (Exercícios de reconhecimento de timbres instrumentais.)"
10,"2.1. Reconhecimento de Intervalos: Identificar as distâncias entre as notas (Intervalos Menores e Maiores)","30 min","18 min (Reconhecimento de intervalos menores e maiores.)","12 min (Identificação auditiva de intervalos menores e maiores.)"
